,Random,Greedy
0,32.0,0.0
1,23.0,0.0
2,30.0,0.0
3,11.0,0.0
4,11.0,0.0
5,46.0,0.0
6,11.0,0.0
7,30.0,0.0
8,38.0,0.0
9,10.0,0.0
10,16.0,0.0
11,17.0,0.0
12,13.0,0.0
13,10.0,0.0
14,17.0,0.0
15,15.0,0.0
16,22.0,0.0
17,9.0,0.0
18,14.0,0.0
19,22.0,1.0
20,15.0,0.0
21,15.0,1.0
22,18.0,0.0
23,17.0,0.0
24,14.0,0.0
25,24.0,0.0
26,12.0,0.0
27,13.0,0.0
28,19.0,0.0
29,33.0,0.0
30,13.0,0.0
31,21.0,1.0
32,21.0,0.0
33,19.0,0.0
34,18.0,0.0
35,12.0,0.0
36,31.0,0.0
37,26.0,0.0
38,23.0,0.0
39,20.0,1.0
40,31.0,0.0
41,32.0,1.0
42,19.0,0.0
43,18.0,1.0
44,26.0,0.0
45,27.0,0.0
46,28.0,0.0
47,17.0,0.0
48,12.0,0.0
49,11.0,0.0
50,15.0,0.0
51,28.0,0.0
52,23.0,0.0
53,23.0,0.0
54,30.0,0.0
55,15.0,0.0
56,32.0,0.0
57,10.0,0.0
58,9.0,0.0
59,24.0,1.0
60,17.0,0.0
61,15.0,0.0
62,18.0,0.0
63,10.0,0.0
64,37.0,1.0
65,9.0,0.0
66,41.0,0.0
67,19.0,0.0
68,17.0,0.0
69,58.0,2.0
70,32.0,0.0
71,48.0,0.0
72,25.0,0.0
73,12.0,1.0
74,15.0,0.0
75,9.0,1.0
76,18.0,0.0
77,21.0,1.0
78,16.0,0.0
79,23.0,1.0
80,15.0,0.0
81,16.0,0.0
82,17.0,1.0
83,16.0,0.0
84,29.0,0.0
85,25.0,0.0
86,24.0,0.0
87,15.0,0.0
88,34.0,1.0
89,24.0,0.0
90,17.0,0.0
91,9.0,0.0
92,8.0,1.0
93,35.0,1.0
94,55.0,0.0
95,16.0,0.0
96,25.0,1.0
97,17.0,0.0
98,23.0,0.0
99,10.0,0.0
100,22.0,1.0
101,14.0,0.0
102,36.0,0.0
103,9.0,0.0
104,12.0,0.0
105,28.0,2.0
106,24.0,1.0
107,45.0,1.0
108,36.0,0.0
109,39.0,1.0
110,14.0,0.0
111,26.0,1.0
112,24.0,1.0
113,42.0,0.0
114,17.0,0.0
115,21.0,0.0
116,16.0,2.0
117,18.0,0.0
118,17.0,0.0
119,14.0,0.0
120,26.0,0.0
121,34.0,0.0
122,16.0,1.0
123,21.0,1.0
124,17.0,1.0
125,9.0,0.0
126,21.0,0.0
127,30.0,1.0
128,40.0,1.0
129,25.0,1.0
130,33.0,1.0
131,32.0,0.0
132,25.0,0.0
133,16.0,0.0
134,11.0,0.0
135,37.0,0.0
136,12.0,0.0
137,15.0,0.0
138,41.0,0.0
139,13.0,0.0
140,18.0,1.0
141,16.0,0.0
142,12.0,1.0
143,12.0,0.0
144,12.0,2.0
145,24.0,0.0
146,18.0,1.0
147,25.0,0.0
148,15.0,1.0
149,30.0,2.0
150,15.0,0.0
151,12.0,0.0
152,14.0,0.0
153,10.0,0.0
154,18.0,1.0
155,22.0,0.0
156,15.0,0.0
157,16.0,0.0
158,36.0,0.0
159,32.0,2.0
160,22.0,0.0
161,22.0,2.0
162,24.0,0.0
163,19.0,1.0
164,40.0,0.0
165,20.0,0.0
166,35.0,1.0
167,12.0,1.0
168,27.0,2.0
169,25.0,0.0
170,20.0,0.0
171,24.0,1.0
172,40.0,1.0
173,32.0,1.0
174,15.0,0.0
175,37.0,0.0
176,31.0,2.0
177,23.0,1.0
178,11.0,0.0
179,30.0,1.0
180,27.0,0.0
181,13.0,1.0
182,42.0,4.0
183,11.0,0.0
184,18.0,1.0
185,13.0,0.0
186,43.0,1.0
187,17.0,2.0
188,19.0,0.0
189,10.0,1.0
190,13.0,0.0
191,19.0,0.0
192,29.0,0.0
193,42.0,0.0
194,19.0,1.0
195,14.0,1.0
196,12.0,0.0
197,78.0,1.0
198,35.0,1.0
199,16.0,0.0
200,15.0,1.0
201,27.0,1.0
202,23.0,0.0
203,14.0,0.0
204,14.0,0.0
205,17.0,3.0
206,15.0,0.0
207,13.0,2.0
208,11.0,2.0
209,9.0,1.0
210,27.0,1.0
211,21.0,0.0
212,16.0,3.0
213,12.0,0.0
214,13.0,0.0
215,12.0,0.0
216,16.0,1.0
217,10.0,2.0
218,21.0,3.0
219,12.0,1.0
220,15.0,0.0
221,16.0,1.0
222,11.0,0.0
223,11.0,1.0
224,18.0,1.0
225,29.0,2.0
226,10.0,0.0
227,29.0,1.0
228,15.0,1.0
229,16.0,0.0
230,49.0,1.0
231,21.0,0.0
232,24.0,1.0
233,17.0,1.0
234,29.0,1.0
235,12.0,0.0
236,27.0,3.0
237,21.0,0.0
238,22.0,1.0
239,48.0,0.0
240,11.0,2.0
241,42.0,0.0
242,40.0,1.0
243,11.0,1.0
244,12.0,0.0
245,33.0,1.0
246,51.0,0.0
247,14.0,0.0
248,13.0,0.0
249,20.0,1.0
250,20.0,0.0
251,12.0,1.0
252,12.0,0.0
253,20.0,1.0
254,25.0,0.0
255,15.0,1.0
256,27.0,2.0
257,9.0,2.0
258,14.0,3.0
259,21.0,0.0
260,17.0,2.0
261,61.0,0.0
262,20.0,1.0
263,11.0,0.0
264,19.0,1.0
265,27.0,2.0
266,13.0,0.0
267,39.0,2.0
268,23.0,2.0
269,36.0,0.0
270,49.0,3.0
271,21.0,1.0
272,24.0,1.0
273,15.0,0.0
274,20.0,1.0
275,11.0,0.0
276,39.0,3.0
277,13.0,0.0
278,37.0,0.0
279,29.0,0.0
280,36.0,1.0
281,17.0,0.0
282,27.0,0.0
283,40.0,0.0
284,73.0,5.0
285,13.0,0.0
286,28.0,1.0
287,8.0,1.0
288,26.0,0.0
289,17.0,0.0
290,54.0,0.0
291,13.0,1.0
292,23.0,1.0
293,16.0,0.0
294,15.0,2.0
295,10.0,2.0
296,13.0,0.0
297,15.0,1.0
298,14.0,1.0
299,17.0,1.0
300,18.0,0.0
301,17.0,1.0
302,28.0,3.0
303,15.0,1.0
304,13.0,1.0
305,25.0,1.0
306,15.0,0.0
307,33.0,2.0
308,9.0,0.0
309,24.0,0.0
310,15.0,1.0
311,19.0,0.0
312,13.0,2.0
313,14.0,0.0
314,13.0,3.0
315,10.0,0.0
316,41.0,2.0
317,43.0,1.0
318,20.0,0.0
319,14.0,1.0
320,17.0,3.0
321,13.0,1.0
322,21.0,2.0
323,15.0,1.0
324,13.0,0.0
325,49.0,1.0
326,11.0,1.0
327,14.0,0.0
328,39.0,2.0
329,15.0,0.0
330,10.0,1.0
331,19.0,0.0
332,10.0,2.0
333,13.0,0.0
334,14.0,1.0
335,17.0,1.0
336,47.0,4.0
337,25.0,1.0
338,13.0,0.0
339,26.0,2.0
340,18.0,0.0
341,13.0,1.0
342,19.0,1.0
343,13.0,2.0
344,20.0,0.0
345,76.0,6.0
346,14.0,1.0
347,14.0,1.0
348,24.0,1.0
349,26.0,3.0
350,22.0,0.0
351,16.0,0.0
352,28.0,1.0
353,14.0,2.0
354,18.0,0.0
355,21.0,2.0
356,38.0,2.0
357,34.0,0.0
358,9.0,0.0
359,17.0,0.0
360,12.0,0.0
361,25.0,1.0
362,14.0,1.0
363,36.0,2.0
364,10.0,0.0
365,20.0,0.0
366,17.0,0.0
367,25.0,2.0
368,22.0,0.0
369,27.0,2.0
370,11.0,2.0
371,45.0,4.0
372,11.0,0.0
373,11.0,2.0
374,22.0,1.0
375,35.0,2.0
376,27.0,1.0
377,18.0,0.0
378,11.0,0.0
379,33.0,2.0
380,20.0,0.0
381,26.0,0.0
382,9.0,2.0
383,19.0,2.0
384,14.0,1.0
385,12.0,0.0
386,10.0,1.0
387,30.0,0.0
388,13.0,0.0
389,26.0,3.0
390,20.0,1.0
391,12.0,1.0
392,17.0,0.0
393,8.0,0.0
394,12.0,0.0
395,11.0,1.0
396,32.0,3.0
397,13.0,1.0
398,29.0,1.0
399,10.0,1.0
400,10.0,0.0
401,11.0,0.0
402,8.0,1.0
403,41.0,2.0
404,24.0,1.0
405,10.0,1.0
406,15.0,3.0
407,21.0,1.0
408,13.0,0.0
409,40.0,5.0
410,18.0,0.0
411,49.0,4.0
412,16.0,0.0
413,11.0,1.0
414,10.0,1.0
415,26.0,0.0
416,21.0,1.0
417,27.0,2.0
418,8.0,3.0
419,10.0,3.0
420,39.0,0.0
421,20.0,1.0
422,14.0,0.0
423,32.0,2.0
424,42.0,3.0
425,17.0,2.0
426,15.0,0.0
427,18.0,3.0
428,24.0,2.0
429,29.0,1.0
430,11.0,2.0
431,13.0,1.0
432,16.0,0.0
433,9.0,0.0
434,14.0,1.0
435,18.0,3.0
436,20.0,0.0
437,15.0,2.0
438,12.0,0.0
439,13.0,2.0
440,11.0,2.0
441,29.0,2.0
442,9.0,0.0
443,15.0,1.0
444,28.0,1.0
445,14.0,0.0
446,15.0,0.0
447,16.0,1.0
448,43.0,0.0
449,21.0,1.0
450,15.0,2.0
451,46.0,1.0
452,10.0,0.0
453,28.0,2.0
454,8.0,2.0
455,26.0,1.0
456,19.0,3.0
457,13.0,0.0
458,14.0,2.0
459,13.0,0.0
460,44.0,3.0
461,16.0,1.0
462,8.0,1.0
