,total reward
0,32.0
1,23.0
2,30.0
3,11.0
4,11.0
5,46.0
6,11.0
7,30.0
8,38.0
9,10.0
10,16.0
11,17.0
12,13.0
13,10.0
14,17.0
15,15.0
16,22.0
17,9.0
18,14.0
19,23.0
20,15.0
21,16.0
22,18.0
23,17.0
24,14.0
25,24.0
26,12.0
27,13.0
28,19.0
29,33.0
30,13.0
31,22.0
32,21.0
33,19.0
34,18.0
35,12.0
36,31.0
37,26.0
38,23.0
39,21.0
40,31.0
41,33.0
42,19.0
43,19.0
44,26.0
45,27.0
46,28.0
47,17.0
48,12.0
49,11.0
50,15.0
51,28.0
52,23.0
53,23.0
54,30.0
55,15.0
56,32.0
57,10.0
58,9.0
59,25.0
60,17.0
61,15.0
62,18.0
63,10.0
64,38.0
65,9.0
66,41.0
67,19.0
68,17.0
69,60.0
70,32.0
71,48.0
72,25.0
73,13.0
74,15.0
75,10.0
76,18.0
77,22.0
78,16.0
79,24.0
80,15.0
81,16.0
82,18.0
83,16.0
84,29.0
85,25.0
86,24.0
87,15.0
88,35.0
89,24.0
90,17.0
91,9.0
92,9.0
93,36.0
94,55.0
95,16.0
96,26.0
97,17.0
98,23.0
99,10.0
100,23.0
101,14.0
102,36.0
103,9.0
104,12.0
105,30.0
106,25.0
107,46.0
108,36.0
109,40.0
110,14.0
111,27.0
112,25.0
113,42.0
114,17.0
115,21.0
116,18.0
117,18.0
118,17.0
119,14.0
120,26.0
121,34.0
122,17.0
123,22.0
124,18.0
125,9.0
126,21.0
127,31.0
128,41.0
129,26.0
130,34.0
131,32.0
132,25.0
133,16.0
134,11.0
135,37.0
136,12.0
137,15.0
138,41.0
139,13.0
140,19.0
141,16.0
142,13.0
143,12.0
144,14.0
145,24.0
146,19.0
147,25.0
148,16.0
149,32.0
150,15.0
151,12.0
152,14.0
153,10.0
154,19.0
155,22.0
156,15.0
157,16.0
158,36.0
159,34.0
160,22.0
161,24.0
162,24.0
163,20.0
164,40.0
165,20.0
166,36.0
167,13.0
168,29.0
169,25.0
170,20.0
171,25.0
172,41.0
173,33.0
174,15.0
175,37.0
176,33.0
177,24.0
178,11.0
179,31.0
180,27.0
181,14.0
182,46.0
183,11.0
184,19.0
185,13.0
186,44.0
187,19.0
188,19.0
189,11.0
190,13.0
191,19.0
192,29.0
193,42.0
194,20.0
195,15.0
196,12.0
197,79.0
198,36.0
199,16.0
200,16.0
201,28.0
202,23.0
203,14.0
204,14.0
205,20.0
206,15.0
207,15.0
208,13.0
209,10.0
210,28.0
211,21.0
212,19.0
213,12.0
214,13.0
215,12.0
216,17.0
217,12.0
218,24.0
219,13.0
220,15.0
221,17.0
222,11.0
223,12.0
224,19.0
225,31.0
226,10.0
227,30.0
228,16.0
229,16.0
230,50.0
231,21.0
232,25.0
233,18.0
234,30.0
235,12.0
236,30.0
237,21.0
238,23.0
239,48.0
240,13.0
241,42.0
242,41.0
243,12.0
244,12.0
245,34.0
246,51.0
247,14.0
248,13.0
249,21.0
250,20.0
251,13.0
252,12.0
253,21.0
254,25.0
255,16.0
256,29.0
257,11.0
258,17.0
259,21.0
260,19.0
261,61.0
262,21.0
263,11.0
264,20.0
265,29.0
266,13.0
267,41.0
268,25.0
269,36.0
270,52.0
271,22.0
272,25.0
273,15.0
274,21.0
275,11.0
276,42.0
277,13.0
278,37.0
279,29.0
280,37.0
281,17.0
282,27.0
283,40.0
284,78.0
285,13.0
286,29.0
287,9.0
288,26.0
289,17.0
290,54.0
291,14.0
292,24.0
293,16.0
294,17.0
295,12.0
296,13.0
297,16.0
298,15.0
299,18.0
300,18.0
301,18.0
302,31.0
303,16.0
304,14.0
305,26.0
306,15.0
307,35.0
308,9.0
309,24.0
310,16.0
311,19.0
312,15.0
313,14.0
314,16.0
315,10.0
316,43.0
317,44.0
318,20.0
319,15.0
320,20.0
321,14.0
322,23.0
323,16.0
324,13.0
325,50.0
326,12.0
327,14.0
328,41.0
329,15.0
330,11.0
331,19.0
332,12.0
333,13.0
334,15.0
335,18.0
336,51.0
337,26.0
338,13.0
339,28.0
340,18.0
341,14.0
342,20.0
343,15.0
344,20.0
345,82.0
346,15.0
347,15.0
348,25.0
349,29.0
350,22.0
351,16.0
352,29.0
353,16.0
354,18.0
355,23.0
356,40.0
357,34.0
358,9.0
359,17.0
360,12.0
361,26.0
362,15.0
363,38.0
364,10.0
365,20.0
366,17.0
367,27.0
368,22.0
369,29.0
370,13.0
371,49.0
372,11.0
373,13.0
374,23.0
375,37.0
376,28.0
377,18.0
378,11.0
379,35.0
380,20.0
381,26.0
382,11.0
383,21.0
384,15.0
385,12.0
386,11.0
387,30.0
388,13.0
389,29.0
390,21.0
391,13.0
392,17.0
